1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofStyle,SaleCondition,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YrSold,Num_Bathrooms,ExtStructSF,HouseSF,YearRemodAgg
1040,0,0,None,3,1Fam,4,3,906.0,0.0,5,6,1.0,0.0,4,134.0,Y,Norm,4,0,4,3,HdBoard,HdBoard,4,3,0,CBlock,1,6,384.0,1.0,5,3,5,Detchd,1965.0,1040,0,0,1Story,1,3,Lvl,0,11200,Inside,70.0,3,0,20,RL,0.0,None,None,0,2,Sawyer,0,4,4,2,0,3,Hip,Normal,0,5,1040.0,0,2008,2.0,0,2464.0,1965.0
1182,1142,0,None,4,1Fam,4,3,998.0,0.0,2,6,1.0,0.0,0,177.0,Y,Norm,4,0,4,0,WdShing,Wd Shng,4,2,2,PConc,3,6,736.0,3.0,5,0,5,BuiltIn,2005.0,2324,0,0,2Story,1,0,Lvl,0,11924,Inside,85.0,0,0,60,RL,286.0,Stone,None,0,7,NridgHt,21,4,8,2,0,3,Hip,Partial,0,11,1175.0,147,2006,4.0,168,4235.0,2005.5
912,0,0,None,2,1Fam,4,3,737.0,0.0,0,6,1.0,0.0,4,175.0,Y,Norm,4,0,4,3,HdBoard,Plywood,4,3,0,CBlock,1,6,352.0,1.0,5,3,5,Detchd,1962.0,912,0,4,1Story,1,3,Lvl,0,12968,Inside,68.0,1,0,20,RL,0.0,None,None,0,9,Sawyer,0,5,4,2,0,3,Hip,Normal,176,4,912.0,140,2008,2.0,316,2176.0,1962.0
1494,0,0,None,3,1Fam,4,0,0.0,0.0,6,6,0.0,0.0,2,1494.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,840.0,3.0,5,2,5,Attchd,2006.0,1494,0,0,1Story,1,2,Lvl,0,10652,Inside,91.0,0,0,20,RL,306.0,Stone,None,0,8,CollgCr,33,4,6,2,0,3,Gable,Partial,0,7,1494.0,160,2007,2.0,193,3828.0,2006.5
1253,0,0,None,2,1Fam,4,3,733.0,0.0,1,6,1.0,0.0,4,520.0,Y,Norm,4,176,4,3,MetalSd,MetalSd,1,1,1,CBlock,1,6,352.0,1.0,5,2,5,Attchd,1960.0,1253,1,4,1Story,1,3,Lvl,0,10920,Corner,68.0,0,0,20,RL,212.0,BrkFace,None,0,5,NAmes,213,4,5,2,0,3,Hip,Normal,0,5,1253.0,0,2008,2.5,389,2858.0,1960.0
854,0,0,None,2,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,832.0,Y,Norm,0,0,4,3,Wd Sdng,Wd Sdng,0,3,0,BrkTil,1,6,576.0,2.0,5,3,5,Detchd,1991.0,854,0,0,1.5Unf,1,3,Lvl,0,6120,Corner,51.0,3,0,45,RM,0.0,None,None,0,7,BrkSide,112,7,6,2,0,3,Gable,Normal,0,5,832.0,48,2007,1.0,160,2262.0,1965.0
1004,0,0,None,2,1Fam,4,3,578.0,0.0,0,6,1.0,0.0,4,426.0,Y,Norm,4,0,4,3,Wd Sdng,Wd Sdng,4,5,1,CBlock,1,6,480.0,2.0,5,0,5,Attchd,1970.0,1004,0,0,1Story,1,3,Lvl,0,11241,CulDSac,68.0,0,0,20,RL,180.0,BrkFace,Shed,700,3,NAmes,0,6,5,2,0,3,Gable,Normal,0,5,1004.0,0,2010,2.0,0,2488.0,1970.0
1296,0,0,None,2,Duplex,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,Y,Norm,4,0,4,3,MetalSd,MetalSd,4,3,0,Slab,2,6,516.0,2.0,5,3,5,CarPort,1967.0,1296,0,4,1Story,2,3,Lvl,0,10791,Inside,72.0,3,0,90,RL,0.0,None,Shed,500,10,Sawyer,0,4,3,2,0,3,Gable,Normal,0,6,0.0,0,2006,2.0,0,1812.0,1967.0
1114,0,0,None,3,1Fam,4,3,646.0,0.0,2,6,1.0,0.0,4,468.0,Y,RRAe,4,0,4,3,VinylSd,VinylSd,4,3,0,PConc,1,6,576.0,2.0,5,3,5,Detchd,2004.0,1114,1,0,1Story,1,2,Lvl,0,13695,Inside,66.0,3,0,20,RL,0.0,None,None,0,6,SawyerW,102,4,4,2,0,3,Gable,Normal,0,6,1114.0,0,2008,2.5,102,2804.0,2004.0
1339,0,0,None,3,1Fam,4,3,504.0,0.0,3,6,0.0,0.0,4,525.0,Y,Norm,4,0,4,3,BrkFace,Plywood,2,3,0,CBlock,1,2,294.0,1.0,5,3,5,Attchd,1958.0,1339,0,4,1Story,1,3,Lvl,0,7560,Inside,70.0,3,0,20,RL,0.0,None,None,0,5,NAmes,0,5,4,2,0,3,Hip,Abnorml,0,6,1029.0,0,2009,1.0,0,2662.0,1961.5
1158,1218,0,None,4,1Fam,4,0,0.0,0.0,6,6,0.0,0.0,0,1158.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,2,1,PConc,3,6,853.0,3.0,5,2,5,BuiltIn,2005.0,2376,1,0,2Story,1,2,Lvl,0,14215,Corner,101.0,0,0,60,RL,380.0,BrkFace,None,0,11,NridgHt,154,4,7,2,0,3,Gable,Partial,0,9,1158.0,240,2006,3.5,394,4387.0,2005.5
1108,0,0,Grvl,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,637.0,Y,Norm,1,205,4,3,Wd Sdng,Wd Sdng,0,2,1,PConc,1,6,280.0,1.0,5,3,5,Attchd,1930.0,1108,0,0,1.5Unf,1,2,Bnk,0,7449,Inside,57.0,3,0,45,RM,0.0,None,None,0,6,IDOTRR,0,6,6,0,0,3,Gable,Normal,0,6,637.0,0,2007,1.0,205,2025.0,1940.0
1795,0,0,None,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,2,1777.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,534.0,2.0,5,2,5,Attchd,2002.0,1795,0,0,1Story,1,2,Lvl,0,9742,Inside,75.0,3,0,20,RL,281.0,BrkFace,None,0,9,CollgCr,159,4,7,2,0,3,Hip,Normal,0,7,1777.0,171,2008,2.0,330,4106.0,2002.0
1060,0,0,None,3,TwnhsE,4,3,840.0,0.0,2,6,1.0,0.0,2,200.0,Y,Norm,4,0,4,3,CemntBd,CmentBd,4,5,1,PConc,1,6,572.0,2.0,5,3,5,Attchd,1976.0,1060,0,4,1Story,1,3,Lvl,0,4224,Inside,44.0,3,0,120,RM,0.0,None,None,0,6,MeadowV,110,6,4,2,0,3,Gable,Normal,0,6,1040.0,100,2007,2.0,210,2672.0,1976.0
1060,0,0,None,3,1Fam,4,2,188.0,668.0,5,0,1.0,0.0,4,204.0,Y,Norm,4,0,2,3,Plywood,Plywood,2,5,1,CBlock,1,6,270.0,1.0,5,3,5,Attchd,1968.0,1060,0,0,1Story,1,2,Lvl,0,8246,Inside,68.0,0,0,20,RL,0.0,None,None,0,5,Sawyer,90,7,4,2,0,3,Gable,Normal,0,6,1060.0,406,2010,2.0,496,2390.0,1984.5
1600,0,0,None,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,2,1566.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,890.0,3.0,5,2,5,Attchd,2007.0,1600,0,0,1Story,1,2,Lvl,0,14230,Corner,110.0,3,0,20,RL,640.0,Stone,None,0,7,NridgHt,56,4,7,2,0,3,Gable,Normal,0,7,1566.0,0,2009,2.0,56,4056.0,2007.0
900,0,0,None,3,1Fam,4,2,234.0,486.0,1,5,0.0,1.0,4,180.0,Y,Norm,4,0,4,3,Wd Sdng,Wd Sdng,4,3,0,CBlock,1,6,576.0,2.0,5,3,5,Detchd,2005.0,900,0,4,1Story,1,2,Lvl,0,7200,Corner,60.0,3,0,20,RL,0.0,None,None,0,5,NAmes,32,6,4,2,0,3,Gable,Normal,0,5,900.0,222,2010,1.5,254,2376.0,1975.5
1704,0,0,None,3,1Fam,4,3,1218.0,0.0,2,6,1.0,0.0,0,486.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,772.0,3.0,5,2,5,Attchd,2008.0,1704,0,0,1Story,1,2,Lvl,0,11478,Inside,98.0,3,0,20,RL,200.0,Stone,None,0,5,NridgHt,50,4,7,2,0,3,Gable,Normal,0,7,1704.0,0,2010,3.0,50,4180.0,2007.5
1600,0,0,None,2,1Fam,4,1,1277.0,0.0,1,6,1.0,0.0,4,207.0,Y,Norm,4,0,4,3,MetalSd,MetalSd,4,2,2,CBlock,1,6,319.0,1.0,5,2,5,Attchd,1957.0,1600,0,4,1Story,1,3,Lvl,0,16321,CulDSac,47.0,0,0,20,RL,0.0,None,None,0,12,NAmes,258,5,4,2,0,3,Gable,Normal,0,6,1484.0,288,2006,2.0,546,3403.0,1977.0
520,0,0,None,1,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,520.0,N,Feedr,4,87,4,3,MetalSd,MetalSd,4,3,0,BrkTil,1,6,240.0,1.0,5,3,1,Detchd,1920.0,520,0,1,1Story,1,1,Lvl,0,6324,Inside,60.0,0,0,30,RM,0.0,None,None,0,5,BrkSide,0,5,3,2,0,3,Gable,Normal,0,4,520.0,49,2008,1.0,136,1280.0,1938.5
649,668,0,Pave,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,649.0,N,Feedr,4,172,1,3,BrkFace,BrkFace,2,3,0,BrkTil,1,6,250.0,1.0,1,3,5,Detchd,1920.0,1317,0,4,2Story,1,3,Lvl,0,8500,Inside,50.0,3,0,70,C (all),0.0,None,None,0,7,IDOTRR,54,3,3,0,0,3,Gambrel,Normal,0,6,649.0,0,2008,1.0,226,2216.0,1935.0
1228,0,0,None,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,1228.0,Y,Norm,4,0,4,3,HdBoard,HdBoard,2,3,0,CBlock,1,6,271.0,1.0,5,3,5,Attchd,1966.0,1228,1,2,1Story,1,2,Lvl,0,8544,CulDSac,68.0,0,0,20,RL,0.0,None,None,0,6,Sawyer,65,5,4,2,0,3,Gable,Normal,0,6,1228.0,0,2008,1.5,65,2727.0,1986.0
1234,0,0,None,3,1Fam,4,0,0.0,0.0,6,6,0.0,0.0,0,1234.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,3,0,PConc,2,6,484.0,2.0,5,2,5,Attchd,2007.0,1234,0,0,1Story,1,2,Lvl,0,11049,Corner,85.0,3,0,20,RL,0.0,None,None,0,1,CollgCr,30,4,7,2,0,3,Gable,Normal,0,7,1234.0,0,2008,2.0,30,2952.0,2007.0
1700,0,0,None,4,1Fam,4,3,1018.0,0.0,5,6,0.0,1.0,4,380.0,Y,Norm,4,0,4,3,BrkFace,BrkFace,4,2,1,CBlock,1,6,447.0,2.0,5,2,5,Attchd,1959.0,1700,1,2,1Story,1,2,Lvl,0,10552,Inside,70.0,0,0,20,RL,0.0,None,None,0,4,NAmes,38,4,4,2,0,3,Hip,Normal,0,6,1398.0,0,2010,2.0,38,3545.0,1959.0
1561,0,0,None,2,TwnhsE,4,3,1153.0,0.0,2,6,1.0,0.0,0,408.0,Y,Norm,4,0,4,0,MetalSd,MetalSd,4,2,1,PConc,2,6,556.0,2.0,5,0,5,Attchd,2005.0,1561,0,0,1Story,1,0,Lvl,0,7313,Inside,60.0,3,0,120,RL,246.0,BrkFace,None,0,8,NridgHt,47,4,8,2,0,3,Hip,Normal,0,6,1561.0,203,2007,3.0,250,3678.0,2005.0
1132,1320,0,None,4,1Fam,4,0,0.0,0.0,6,6,0.0,0.0,0,1117.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,2,1,PConc,3,6,691.0,3.0,5,0,5,BuiltIn,2004.0,2452,1,0,2Story,1,2,Lvl,0,13418,Inside,108.0,3,0,60,RL,132.0,Stone,None,0,9,NridgHt,32,4,7,2,0,3,Gable,Normal,0,9,1117.0,113,2006,3.5,145,4260.0,2004.5
1097,0,0,None,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,2,1097.0,Y,Norm,4,0,4,3,VinylSd,VinylSd,4,3,0,PConc,1,6,672.0,2.0,5,3,5,Attchd,1995.0,1097,1,0,1Story,1,3,Lvl,0,10859,Corner,112.0,3,0,20,RL,0.0,None,None,0,6,CollgCr,64,4,4,2,0,3,Gable,Normal,0,6,1097.0,392,2009,1.5,456,2866.0,1994.5
1297,0,0,None,3,1Fam,4,3,1213.0,0.0,5,6,0.0,1.0,4,84.0,Y,Norm,4,0,4,3,Wd Sdng,Wd Sdng,4,5,1,CBlock,1,6,498.0,2.0,5,0,5,Attchd,1954.0,1297,0,2,1Story,1,3,Lvl,0,8532,Inside,74.0,3,0,20,RL,650.0,BrkFace,None,0,10,NAmes,0,5,4,2,0,3,Hip,Normal,0,5,1297.0,0,2009,1.5,0,3092.0,1972.0
1057,0,0,None,3,1Fam,4,3,731.0,0.0,2,6,1.0,0.0,4,326.0,Y,Norm,4,0,2,3,VinylSd,VinylSd,4,3,0,CBlock,1,6,246.0,1.0,5,3,5,Detchd,1953.0,1057,0,4,1Story,1,2,Lvl,0,7922,Inside,68.0,3,0,20,RL,0.0,None,None,0,1,NAmes,52,6,4,2,0,3,Gable,Abnorml,0,5,1057.0,0,2010,2.0,52,2360.0,1980.0
1152,0,0,None,2,Duplex,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,N,Norm,2,0,4,3,AsbShng,Plywood,4,3,0,PConc,2,6,0.0,0.0,3,1,3,None,0.0,1152,0,4,1Story,2,1,Lvl,0,6040,Inside,65.0,3,0,90,RL,0.0,None,None,0,6,Edwards,0,4,3,0,0,3,Gable,AdjLand,0,6,0.0,0,2008,2.0,0,1152.0,1955.0
1324,0,0,None,3,1Fam,4,3,643.0,0.0,5,6,0.0,0.0,4,445.0,Y,Norm,4,0,4,3,Wd Sdng,Wd Sdng,1,5,1,CBlock,2,6,440.0,2.0,5,2,5,Attchd,1965.0,1324,0,0,1Story,1,3,Lvl,0,8658,Inside,84.0,3,0,20,RL,101.0,BrkFace,None,0,12,NAmes,138,4,5,2,0,3,Gable,Abnorml,0,6,1088.0,0,2006,2.0,138,2852.0,1965.0
1328,0,0,None,2,1Fam,4,1,967.0,0.0,1,6,0.0,1.0,4,383.0,Y,Norm,4,0,2,3,VinylSd,VinylSd,4,2,2,CBlock,1,6,308.0,1.0,5,2,5,Attchd,1959.0,1328,1,2,1Story,1,3,Lvl,0,16905,Inside,115.0,3,0,20,RL,0.0,None,None,0,7,Timber,104,5,4,1,0,3,Gable,Normal,0,5,1350.0,0,2007,2.0,104,2986.0,1959.0
884,0,0,None,2,1Fam,4,0,747.0,93.0,0,3,1.0,0.0,2,0.0,Y,Norm,4,0,4,3,HdBoard,HdBoard,2,3,0,CBlock,1,6,504.0,2.0,2,2,5,Attchd,1983.0,884,0,2,SFoyer,1,2,Lvl,0,9180,CulDSac,68.0,0,0,85,RL,0.0,None,None,0,12,SawyerW,0,6,4,2,0,3,Gable,Normal,0,5,840.0,240,2007,2.0,240,2228.0,1983.0
938,0,0,None,3,1Fam,4,0,280.0,491.0,3,1,1.0,0.0,2,167.0,Y,Norm,4,0,4,3,VinylSd,VinylSd,2,3,0,CBlock,1,6,308.0,1.0,5,3,5,Detchd,1977.0,938,0,4,1Story,1,3,Lvl,0,9200,CulDSac,68.0,0,0,20,RL,0.0,None,None,0,7,CollgCr,0,5,4,2,0,3,Hip,Normal,0,5,938.0,145,2008,2.0,145,2184.0,1977.5
1150,0,0,None,3,1Fam,4,3,179.0,506.0,0,1,1.0,0.0,4,465.0,Y,Norm,0,0,4,3,BrkFace,Wd Sdng,4,3,0,CBlock,1,6,300.0,1.0,5,2,5,Attchd,1959.0,1150,0,0,1Story,1,3,Lvl,0,7945,Inside,70.0,3,0,20,RL,0.0,None,None,0,5,NAmes,0,5,4,2,0,3,Gable,Normal,0,6,1150.0,0,2006,2.0,0,2600.0,1959.0
1752,0,0,None,2,TwnhsE,4,3,456.0,0.0,2,6,1.0,0.0,0,1296.0,Y,Norm,4,0,4,0,MetalSd,MetalSd,4,2,1,PConc,2,6,576.0,2.0,5,2,5,Attchd,2005.0,1752,0,0,1Story,1,0,Lvl,0,7658,Inside,61.0,3,0,120,RL,412.0,BrkFace,None,0,2,NridgHt,82,4,8,2,0,3,Hip,Normal,0,6,1752.0,196,2010,3.0,278,4080.0,2005.0
1518,631,0,None,1,1Fam,4,3,1351.0,0.0,2,6,1.0,0.0,0,83.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,0,1,PConc,1,6,670.0,2.0,5,2,5,Attchd,2003.0,2149,1,0,1.5Fin,1,2,Lvl,0,12822,CulDSac,48.0,0,0,50,RL,0.0,None,None,0,8,Mitchel,43,4,6,2,0,3,Gable,Abnorml,198,6,1434.0,168,2009,2.5,409,4253.0,2003.0
1656,0,0,None,3,1Fam,4,0,24.0,0.0,2,6,0.0,0.0,2,1632.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,3,0,PConc,2,6,826.0,3.0,5,2,5,Attchd,2006.0,1656,0,0,1Story,1,2,Lvl,0,11096,Inside,84.0,3,0,20,FV,0.0,None,None,0,7,Somerst,146,4,7,2,0,3,Gable,Normal,0,7,1656.0,0,2007,2.0,146,4138.0,2006.0
736,716,0,None,2,2fmCon,4,3,0.0,0.0,6,6,0.0,0.0,4,736.0,Y,Norm,4,102,4,3,MetalSd,MetalSd,4,3,0,BrkTil,2,6,0.0,0.0,3,1,3,None,0.0,1452,0,2,2Story,3,3,Lvl,0,4456,Inside,33.0,3,0,190,RM,0.0,None,None,0,6,OldTown,0,4,3,0,0,3,Gable,Partial,0,8,736.0,0,2009,2.0,102,2188.0,1964.0
955,0,0,None,3,1Fam,4,3,763.0,0.0,1,6,1.0,0.0,4,192.0,Y,Norm,4,0,4,3,HdBoard,HdBoard,2,3,0,CBlock,1,6,386.0,1.0,5,3,5,Attchd,1966.0,955,0,0,1Story,1,3,Lvl,0,7742,Inside,66.0,3,0,20,RL,0.0,None,None,0,1,Sawyer,0,6,4,2,0,3,Gable,Normal,0,6,955.0,0,2007,2.0,0,2296.0,1966.0
794,676,0,None,3,1Fam,4,0,182.0,0.0,2,6,0.0,1.0,2,612.0,Y,Norm,4,0,4,3,VinylSd,VinylSd,4,3,0,PConc,2,6,388.0,2.0,5,0,5,Attchd,1997.0,1470,0,2,2Story,1,3,Lvl,0,13869,Corner,68.0,1,0,60,RL,0.0,None,None,0,7,Gilbert,75,5,5,2,0,3,Gable,Normal,0,6,794.0,0,2007,2.5,75,2652.0,1997.0
816,0,0,None,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,816.0,Y,Norm,4,0,4,3,Wd Sdng,Wd Sdng,2,2,1,PConc,1,6,528.0,2.0,5,3,5,Detchd,1985.0,1176,0,4,1.5Fin,1,3,Lvl,0,6240,Inside,52.0,3,360,50,RM,0.0,None,Shed,400,9,BrkSide,0,5,5,2,0,3,Gable,Normal,0,6,816.0,112,2006,1.0,112,2520.0,1942.0
816,0,0,None,2,Duplex,4,1,104.0,712.0,3,2,1.0,0.0,2,0.0,N,RRNn,4,0,4,1,Wd Sdng,Wd Sdng,4,3,0,CBlock,1,6,516.0,2.0,5,3,5,CarPort,1963.0,816,0,4,1Story,1,3,Bnk,1,8472,Corner,110.0,1,0,90,RM,0.0,None,None,0,5,IDOTRR,0,4,4,2,0,3,Gable,Normal,0,5,816.0,106,2010,2.0,106,2148.0,1963.0
1842,0,0,None,0,1Fam,4,1,1810.0,0.0,2,6,2.0,0.0,0,32.0,Y,Norm,4,0,4,2,WdShing,Wd Shng,4,2,1,CBlock,0,6,894.0,3.0,5,0,5,Attchd,1981.0,1842,1,2,1Story,1,2,Low,0,50271,Inside,68.0,0,0,20,RL,0.0,None,None,0,11,Veenker,72,4,8,2,0,3,Gable,Normal,0,5,1842.0,857,2006,2.5,929,4578.0,1984.0
1360,0,0,None,3,1Fam,4,3,384.0,0.0,0,6,0.0,0.0,4,0.0,Y,Norm,4,0,4,3,MetalSd,MetalSd,2,5,1,CBlock,1,2,572.0,2.0,5,3,5,Detchd,1962.0,1360,0,4,SLvl,1,3,Bnk,1,7134,Inside,60.0,3,0,80,RL,0.0,None,None,0,2,NAmes,50,4,4,2,0,3,Gable,Normal,0,6,384.0,0,2007,1.0,50,2316.0,1955.0
1425,0,407,None,3,1Fam,4,3,490.0,0.0,1,6,0.0,0.0,4,935.0,Y,Norm,4,0,4,3,HdBoard,Plywood,4,2,1,CBlock,2,6,576.0,2.0,5,2,5,Attchd,1964.0,1425,0,2,1Story,1,3,Lvl,0,10175,Inside,100.0,0,0,20,RL,272.0,BrkFace,None,0,7,NAmes,0,4,5,2,0,3,Gable,Normal,0,7,1425.0,0,2008,2.0,407,3426.0,1964.0
983,756,0,Pave,3,Twnhs,4,3,649.0,0.0,2,6,1.0,0.0,2,321.0,Y,Norm,4,0,4,2,MetalSd,MetalSd,4,3,0,PConc,2,6,480.0,2.0,5,0,5,Attchd,1999.0,1739,1,0,2Story,1,2,Lvl,0,2645,Inside,24.0,3,0,160,FV,456.0,BrkFace,None,0,8,Somerst,0,4,7,2,0,3,Gable,Abnorml,0,7,970.0,115,2009,3.5,115,3189.0,1999.5
