1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExtStructSF,ExterCond,ExterQual,Exterior1st,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseSF,HouseStyle,KitchenAbvGr,KitchenQual,LandSlope,LotArea,LotFrontage,LotShape,LowQualFinSF,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,Num_Bathrooms,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YrSold,YearRemodAgg
1040,0,0,None,3,4,3,906.0,0.0,5,6,1.0,0.0,4,134.0,Y,Norm,Norm,4,0,0,4,3,HdBoard,4,3,0,CBlock,1,6,384.0,1.0,5,3,5,Detchd,1965.0,1040,0,GasA,0,2464.0,1Story,1,3,0,11200,70.0,3,0,0.0,None,None,0,2,Sawyer,2.0,0,4,4,2,0,3,CompShg,0,Pave,5,1040.0,0,2008,1965.0
1182,1142,0,None,4,4,3,998.0,0.0,2,6,1.0,0.0,0,177.0,Y,Norm,Norm,4,0,168,4,0,WdShing,4,2,2,PConc,3,6,736.0,3.0,5,0,5,BuiltIn,2005.0,2324,0,GasA,0,4235.0,2Story,1,0,0,11924,85.0,0,0,286.0,Stone,None,0,7,NridgHt,4.0,21,4,8,2,0,3,CompShg,0,Pave,11,1175.0,147,2006,2005.5
912,0,0,None,2,4,3,737.0,0.0,0,6,1.0,0.0,4,175.0,Y,Norm,Norm,4,0,316,4,3,HdBoard,4,3,0,CBlock,1,6,352.0,1.0,5,3,5,Detchd,1962.0,912,0,GasA,4,2176.0,1Story,1,3,0,12968,72.0,1,0,0.0,None,None,0,9,Sawyer,2.0,0,5,4,2,0,3,CompShg,176,Pave,4,912.0,140,2008,1962.0
1494,0,0,None,3,4,0,0.0,0.0,6,6,0.0,0.0,2,1494.0,Y,Norm,Norm,4,0,193,4,2,VinylSd,4,2,1,PConc,2,6,840.0,3.0,5,2,5,Attchd,2006.0,1494,0,GasA,0,3828.0,1Story,1,2,0,10652,91.0,0,0,306.0,Stone,None,0,8,CollgCr,2.0,33,4,6,2,0,3,CompShg,0,Pave,7,1494.0,160,2007,2006.5
1253,0,0,None,2,4,3,733.0,0.0,1,6,1.0,0.0,4,520.0,Y,Norm,Norm,4,176,389,4,3,MetalSd,1,1,1,CBlock,1,6,352.0,1.0,5,2,5,Attchd,1960.0,1253,1,GasA,4,2858.0,1Story,1,3,0,10920,73.0,0,0,212.0,BrkFace,None,0,5,NAmes,2.5,213,4,5,2,0,3,CompShg,0,Pave,5,1253.0,0,2008,1960.0
854,0,0,None,2,4,3,0.0,0.0,6,6,0.0,0.0,4,832.0,Y,Norm,Norm,0,0,160,4,3,Wd Sdng,0,3,0,BrkTil,1,6,576.0,2.0,5,3,5,Detchd,1991.0,854,0,GasA,0,2262.0,1.5Unf,1,3,0,6120,51.0,3,0,0.0,None,None,0,7,BrkSide,1.0,112,7,6,2,0,3,CompShg,0,Pave,5,832.0,48,2007,1965.0
1004,0,0,None,2,4,3,578.0,0.0,0,6,1.0,0.0,4,426.0,Y,Norm,Norm,4,0,0,4,3,Wd Sdng,4,5,1,CBlock,1,6,480.0,2.0,5,0,5,Attchd,1970.0,1004,0,GasA,0,2488.0,1Story,1,3,0,11241,73.0,0,0,180.0,BrkFace,Shed,700,3,NAmes,2.0,0,6,5,2,0,3,CompShg,0,Pave,5,1004.0,0,2010,1970.0
1296,0,0,None,2,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,Y,Norm,Norm,4,0,0,4,3,MetalSd,4,3,0,Slab,2,6,516.0,2.0,5,3,5,CarPort,1967.0,1296,0,GasA,4,1812.0,1Story,2,3,0,10791,72.0,3,0,0.0,None,Shed,500,10,Sawyer,2.0,0,4,3,2,0,3,CompShg,0,Pave,6,0.0,0,2006,1967.0
1114,0,0,None,3,4,3,646.0,0.0,2,6,1.0,0.0,4,468.0,Y,RRAe,Norm,4,0,102,4,3,VinylSd,4,3,0,PConc,1,6,576.0,2.0,5,3,5,Detchd,2004.0,1114,1,GasA,0,2804.0,1Story,1,2,0,13695,66.0,3,0,0.0,None,None,0,6,SawyerW,2.5,102,4,4,2,0,3,CompShg,0,Pave,6,1114.0,0,2008,2004.0
1339,0,0,None,3,4,3,504.0,0.0,3,6,0.0,0.0,4,525.0,Y,Norm,Norm,4,0,0,4,3,BrkFace,2,3,0,CBlock,1,2,294.0,1.0,5,3,5,Attchd,1958.0,1339,0,GasA,4,2662.0,1Story,1,3,0,7560,70.0,3,0,0.0,None,None,0,5,NAmes,1.0,0,5,4,2,0,3,CompShg,0,Pave,6,1029.0,0,2009,1961.5
1158,1218,0,None,4,4,0,0.0,0.0,6,6,0.0,0.0,0,1158.0,Y,Norm,Norm,4,0,394,4,2,VinylSd,4,2,1,PConc,3,6,853.0,3.0,5,2,5,BuiltIn,2005.0,2376,1,GasA,0,4387.0,2Story,1,2,0,14215,101.0,0,0,380.0,BrkFace,None,0,11,NridgHt,3.5,154,4,7,2,0,3,CompShg,0,Pave,9,1158.0,240,2006,2005.5
1108,0,0,Grvl,3,4,3,0.0,0.0,6,6,0.0,0.0,4,637.0,Y,Norm,Norm,1,205,205,4,3,Wd Sdng,0,2,1,PConc,1,6,280.0,1.0,5,3,5,Attchd,1930.0,1108,0,GasA,0,2025.0,1.5Unf,1,2,0,7449,57.0,3,0,0.0,None,None,0,6,IDOTRR,1.0,0,6,6,0,0,3,CompShg,0,Pave,6,637.0,0,2007,1940.0
1795,0,0,None,3,4,3,0.0,0.0,6,6,0.0,0.0,2,1777.0,Y,Norm,Norm,4,0,330,4,2,VinylSd,4,2,1,PConc,2,6,534.0,2.0,5,2,5,Attchd,2002.0,1795,0,GasA,0,4106.0,1Story,1,2,0,9742,75.0,3,0,281.0,BrkFace,None,0,9,CollgCr,2.0,159,4,7,2,0,3,CompShg,0,Pave,7,1777.0,171,2008,2002.0
1060,0,0,None,3,4,3,840.0,0.0,2,6,1.0,0.0,2,200.0,Y,Norm,Norm,4,0,210,4,3,CemntBd,4,5,1,PConc,1,6,572.0,2.0,5,3,5,Attchd,1976.0,1060,0,GasA,4,2672.0,1Story,1,3,0,4224,44.0,3,0,0.0,None,None,0,6,MeadowV,2.0,110,6,4,2,0,3,CompShg,0,Pave,6,1040.0,100,2007,1976.0
1060,0,0,None,3,4,2,188.0,668.0,5,0,1.0,0.0,4,204.0,Y,Norm,Norm,4,0,496,2,3,Plywood,2,5,1,CBlock,1,6,270.0,1.0,5,3,5,Attchd,1968.0,1060,0,GasA,0,2390.0,1Story,1,2,0,8246,72.0,0,0,0.0,None,None,0,5,Sawyer,2.0,90,7,4,2,0,3,CompShg,0,Pave,6,1060.0,406,2010,1984.5
1600,0,0,None,3,4,3,0.0,0.0,6,6,0.0,0.0,2,1566.0,Y,Norm,Norm,4,0,56,4,2,VinylSd,4,2,1,PConc,2,6,890.0,3.0,5,2,5,Attchd,2007.0,1600,0,GasA,0,4056.0,1Story,1,2,0,14230,110.0,3,0,640.0,Stone,None,0,7,NridgHt,2.0,56,4,7,2,0,3,CompShg,0,Pave,7,1566.0,0,2009,2007.0
900,0,0,None,3,4,2,234.0,486.0,1,5,0.0,1.0,4,180.0,Y,Norm,Norm,4,0,254,4,3,Wd Sdng,4,3,0,CBlock,1,6,576.0,2.0,5,3,5,Detchd,2005.0,900,0,GasA,4,2376.0,1Story,1,2,0,7200,60.0,3,0,0.0,None,None,0,5,NAmes,1.5,32,6,4,2,0,3,CompShg,0,Pave,5,900.0,222,2010,1975.5
1704,0,0,None,3,4,3,1218.0,0.0,2,6,1.0,0.0,0,486.0,Y,Norm,Norm,4,0,50,4,2,VinylSd,4,2,1,PConc,2,6,772.0,3.0,5,2,5,Attchd,2008.0,1704,0,GasA,0,4180.0,1Story,1,2,0,11478,98.0,3,0,200.0,Stone,None,0,5,NridgHt,3.0,50,4,7,2,0,3,CompShg,0,Pave,7,1704.0,0,2010,2007.5
1600,0,0,None,2,4,1,1277.0,0.0,1,6,1.0,0.0,4,207.0,Y,Norm,Norm,4,0,546,4,3,MetalSd,4,2,2,CBlock,1,6,319.0,1.0,5,2,5,Attchd,1957.0,1600,0,GasA,4,3403.0,1Story,1,3,0,16321,47.0,0,0,0.0,None,None,0,12,NAmes,2.0,258,5,4,2,0,3,CompShg,0,Pave,6,1484.0,288,2006,1977.0
520,0,0,None,1,4,3,0.0,0.0,6,6,0.0,0.0,4,520.0,N,Feedr,RRNn,4,87,136,4,3,MetalSd,4,3,0,BrkTil,1,6,240.0,1.0,5,3,1,Detchd,1920.0,520,0,GasA,1,1280.0,1Story,1,1,0,6324,60.0,0,0,0.0,None,None,0,5,BrkSide,1.0,0,5,3,2,0,3,CompShg,0,Pave,4,520.0,49,2008,1938.5
649,668,0,Pave,3,4,3,0.0,0.0,6,6,0.0,0.0,4,649.0,N,Feedr,Norm,4,172,226,1,3,BrkFace,2,3,0,BrkTil,1,6,250.0,1.0,1,3,5,Detchd,1920.0,1317,0,GasA,4,2216.0,2Story,1,3,0,8500,50.0,3,0,0.0,None,None,0,7,IDOTRR,1.0,54,3,3,0,0,3,CompShg,0,Pave,6,649.0,0,2008,1935.0
1228,0,0,None,3,4,3,0.0,0.0,6,6,0.0,0.0,4,1228.0,Y,Norm,Norm,4,0,65,4,3,HdBoard,2,3,0,CBlock,1,6,271.0,1.0,5,3,5,Attchd,1966.0,1228,1,GasA,2,2727.0,1Story,1,2,0,8544,72.0,0,0,0.0,None,None,0,6,Sawyer,1.5,65,5,4,2,0,3,CompShg,0,Pave,6,1228.0,0,2008,1986.0
1234,0,0,None,3,4,0,0.0,0.0,6,6,0.0,0.0,0,1234.0,Y,Norm,Norm,4,0,30,4,2,VinylSd,4,3,0,PConc,2,6,484.0,2.0,5,2,5,Attchd,2007.0,1234,0,GasA,0,2952.0,1Story,1,2,0,11049,85.0,3,0,0.0,None,None,0,1,CollgCr,2.0,30,4,7,2,0,3,CompShg,0,Pave,7,1234.0,0,2008,2007.0
1700,0,0,None,4,4,3,1018.0,0.0,5,6,0.0,1.0,4,380.0,Y,Norm,Norm,4,0,38,4,3,BrkFace,4,2,1,CBlock,1,6,447.0,2.0,5,2,5,Attchd,1959.0,1700,1,GasA,2,3545.0,1Story,1,2,0,10552,70.0,0,0,0.0,None,None,0,4,NAmes,2.0,38,4,4,2,0,3,CompShg,0,Pave,6,1398.0,0,2010,1959.0
1561,0,0,None,2,4,3,1153.0,0.0,2,6,1.0,0.0,0,408.0,Y,Norm,Norm,4,0,250,4,0,MetalSd,4,2,1,PConc,2,6,556.0,2.0,5,0,5,Attchd,2005.0,1561,0,GasA,0,3678.0,1Story,1,0,0,7313,60.0,3,0,246.0,BrkFace,None,0,8,NridgHt,3.0,47,4,8,2,0,3,CompShg,0,Pave,6,1561.0,203,2007,2005.0
1132,1320,0,None,4,4,0,0.0,0.0,6,6,0.0,0.0,0,1117.0,Y,Norm,Norm,4,0,145,4,2,VinylSd,4,2,1,PConc,3,6,691.0,3.0,5,0,5,BuiltIn,2004.0,2452,1,GasA,0,4260.0,2Story,1,2,0,13418,108.0,3,0,132.0,Stone,None,0,9,NridgHt,3.5,32,4,7,2,0,3,CompShg,0,Pave,9,1117.0,113,2006,2004.5
1097,0,0,None,3,4,3,0.0,0.0,6,6,0.0,0.0,2,1097.0,Y,Norm,Norm,4,0,456,4,3,VinylSd,4,3,0,PConc,1,6,672.0,2.0,5,3,5,Attchd,1995.0,1097,1,GasA,0,2866.0,1Story,1,3,0,10859,112.0,3,0,0.0,None,None,0,6,CollgCr,1.5,64,4,4,2,0,3,CompShg,0,Pave,6,1097.0,392,2009,1994.5
1297,0,0,None,3,4,3,1213.0,0.0,5,6,0.0,1.0,4,84.0,Y,Norm,Norm,4,0,0,4,3,Wd Sdng,4,5,1,CBlock,1,6,498.0,2.0,5,0,5,Attchd,1954.0,1297,0,GasA,2,3092.0,1Story,1,3,0,8532,74.0,3,0,650.0,BrkFace,None,0,10,NAmes,1.5,0,5,4,2,0,3,CompShg,0,Pave,5,1297.0,0,2009,1972.0
1057,0,0,None,3,4,3,731.0,0.0,2,6,1.0,0.0,4,326.0,Y,Norm,Norm,4,0,52,2,3,VinylSd,4,3,0,CBlock,1,6,246.0,1.0,5,3,5,Detchd,1953.0,1057,0,GasA,4,2360.0,1Story,1,2,0,7922,68.0,3,0,0.0,None,None,0,1,NAmes,2.0,52,6,4,2,0,3,CompShg,0,Pave,5,1057.0,0,2010,1980.0
1152,0,0,None,2,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,N,Norm,Norm,2,0,0,4,3,AsbShng,4,3,0,PConc,2,6,0.0,0.0,3,1,3,None,0.0,1152,0,GasA,4,1152.0,1Story,2,1,0,6040,65.0,3,0,0.0,None,None,0,6,Edwards,2.0,0,4,3,0,0,3,CompShg,0,Pave,6,0.0,0,2008,1955.0
1324,0,0,None,3,4,3,643.0,0.0,5,6,0.0,0.0,4,445.0,Y,Norm,Norm,4,0,138,4,3,Wd Sdng,1,5,1,CBlock,2,6,440.0,2.0,5,2,5,Attchd,1965.0,1324,0,GasA,0,2852.0,1Story,1,3,0,8658,84.0,3,0,101.0,BrkFace,None,0,12,NAmes,2.0,138,4,5,2,0,3,CompShg,0,Pave,6,1088.0,0,2006,1965.0
1328,0,0,None,2,4,1,967.0,0.0,1,6,0.0,1.0,4,383.0,Y,Norm,Norm,4,0,104,2,3,VinylSd,4,2,2,CBlock,1,6,308.0,1.0,5,2,5,Attchd,1959.0,1328,1,GasA,2,2986.0,1Story,1,3,0,16905,115.0,3,0,0.0,None,None,0,7,Timber,2.0,104,5,4,1,0,3,CompShg,0,Pave,5,1350.0,0,2007,1959.0
884,0,0,None,2,4,0,747.0,93.0,0,3,1.0,0.0,2,0.0,Y,Norm,Norm,4,0,240,4,3,HdBoard,2,3,0,CBlock,1,6,504.0,2.0,2,2,5,Attchd,1983.0,884,0,GasA,2,2228.0,SFoyer,1,2,0,9180,67.0,0,0,0.0,None,None,0,12,SawyerW,2.0,0,6,4,2,0,3,CompShg,0,Pave,5,840.0,240,2007,1983.0
938,0,0,None,3,4,0,280.0,491.0,3,1,1.0,0.0,2,167.0,Y,Norm,Norm,4,0,145,4,3,VinylSd,2,3,0,CBlock,1,6,308.0,1.0,5,3,5,Detchd,1977.0,938,0,GasA,4,2184.0,1Story,1,3,0,9200,70.0,0,0,0.0,None,None,0,7,CollgCr,2.0,0,5,4,2,0,3,CompShg,0,Pave,5,938.0,145,2008,1977.5
1150,0,0,None,3,4,3,179.0,506.0,0,1,1.0,0.0,4,465.0,Y,Norm,Norm,0,0,0,4,3,BrkFace,4,3,0,CBlock,1,6,300.0,1.0,5,2,5,Attchd,1959.0,1150,0,GasA,0,2600.0,1Story,1,3,0,7945,70.0,3,0,0.0,None,None,0,5,NAmes,2.0,0,5,4,2,0,3,CompShg,0,Pave,6,1150.0,0,2006,1959.0
1752,0,0,None,2,4,3,456.0,0.0,2,6,1.0,0.0,0,1296.0,Y,Norm,Norm,4,0,278,4,0,MetalSd,4,2,1,PConc,2,6,576.0,2.0,5,2,5,Attchd,2005.0,1752,0,GasA,0,4080.0,1Story,1,0,0,7658,61.0,3,0,412.0,BrkFace,None,0,2,NridgHt,3.0,82,4,8,2,0,3,CompShg,0,Pave,6,1752.0,196,2010,2005.0
1518,631,0,None,1,4,3,1351.0,0.0,2,6,1.0,0.0,0,83.0,Y,Norm,Norm,4,0,409,4,2,VinylSd,4,0,1,PConc,1,6,670.0,2.0,5,2,5,Attchd,2003.0,2149,1,GasA,0,4253.0,1.5Fin,1,2,0,12822,48.0,0,0,0.0,None,None,0,8,Mitchel,2.5,43,4,6,2,0,3,CompShg,198,Pave,6,1434.0,168,2009,2003.0
1656,0,0,None,3,4,0,24.0,0.0,2,6,0.0,0.0,2,1632.0,Y,Norm,Norm,4,0,146,4,2,VinylSd,4,3,0,PConc,2,6,826.0,3.0,5,2,5,Attchd,2006.0,1656,0,GasA,0,4138.0,1Story,1,2,0,11096,84.0,3,0,0.0,None,None,0,7,Somerst,2.0,146,4,7,2,0,3,CompShg,0,Pave,7,1656.0,0,2007,2006.0
736,716,0,None,2,4,3,0.0,0.0,6,6,0.0,0.0,4,736.0,Y,Norm,Norm,4,102,102,4,3,MetalSd,4,3,0,BrkTil,2,6,0.0,0.0,3,1,3,None,0.0,1452,0,GasA,2,2188.0,2Story,3,3,0,4456,33.0,3,0,0.0,None,None,0,6,OldTown,2.0,0,4,3,0,0,3,CompShg,0,Pave,8,736.0,0,2009,1964.0
955,0,0,None,3,4,3,763.0,0.0,1,6,1.0,0.0,4,192.0,Y,Norm,Norm,4,0,0,4,3,HdBoard,2,3,0,CBlock,1,6,386.0,1.0,5,3,5,Attchd,1966.0,955,0,GasA,0,2296.0,1Story,1,3,0,7742,66.0,3,0,0.0,None,None,0,1,Sawyer,2.0,0,6,4,2,0,3,CompShg,0,Pave,6,955.0,0,2007,1966.0
794,676,0,None,3,4,0,182.0,0.0,2,6,0.0,1.0,2,612.0,Y,Norm,Norm,4,0,75,4,3,VinylSd,4,3,0,PConc,2,6,388.0,2.0,5,0,5,Attchd,1997.0,1470,0,GasA,2,2652.0,2Story,1,3,0,13869,64.0,1,0,0.0,None,None,0,7,Gilbert,2.5,75,5,5,2,0,3,CompShg,0,Pave,6,794.0,0,2007,1997.0
816,0,0,None,3,4,3,0.0,0.0,6,6,0.0,0.0,4,816.0,Y,Norm,Norm,4,0,112,4,3,Wd Sdng,2,2,1,PConc,1,6,528.0,2.0,5,3,5,Detchd,1985.0,1176,0,GasA,4,2520.0,1.5Fin,1,3,0,6240,52.0,3,360,0.0,None,Shed,400,9,BrkSide,1.0,0,5,5,2,0,3,CompShg,0,Pave,6,816.0,112,2006,1942.0
816,0,0,None,2,4,1,104.0,712.0,3,2,1.0,0.0,2,0.0,N,RRNn,Norm,4,0,106,4,1,Wd Sdng,4,3,0,CBlock,1,6,516.0,2.0,5,3,5,CarPort,1963.0,816,0,GasA,4,2148.0,1Story,1,3,1,8472,110.0,1,0,0.0,None,None,0,5,IDOTRR,2.0,0,4,4,2,0,3,CompShg,0,Grvl,5,816.0,106,2010,1963.0
1842,0,0,None,0,4,1,1810.0,0.0,2,6,2.0,0.0,0,32.0,Y,Norm,Norm,4,0,929,4,2,WdShing,4,2,1,CBlock,0,6,894.0,3.0,5,0,5,Attchd,1981.0,1842,1,GasA,2,4578.0,1Story,1,2,0,50271,68.0,0,0,0.0,None,None,0,11,Veenker,2.5,72,4,8,2,0,3,WdShngl,0,Pave,5,1842.0,857,2006,1984.0
1360,0,0,None,3,4,3,384.0,0.0,0,6,0.0,0.0,4,0.0,Y,Norm,Norm,4,0,50,4,3,MetalSd,2,5,1,CBlock,1,2,572.0,2.0,5,3,5,Detchd,1962.0,1360,0,GasA,4,2316.0,SLvl,1,3,1,7134,60.0,3,0,0.0,None,None,0,2,NAmes,1.0,50,4,4,2,0,3,CompShg,0,Pave,6,384.0,0,2007,1955.0
1425,0,407,None,3,4,3,490.0,0.0,1,6,0.0,0.0,4,935.0,Y,Norm,Norm,4,0,407,4,3,HdBoard,4,2,1,CBlock,2,6,576.0,2.0,5,2,5,Attchd,1964.0,1425,0,GasA,2,3426.0,1Story,1,3,0,10175,100.0,0,0,272.0,BrkFace,None,0,7,NAmes,2.0,0,4,5,2,0,3,CompShg,0,Pave,7,1425.0,0,2008,1964.0
983,756,0,Pave,3,4,3,649.0,0.0,2,6,1.0,0.0,2,321.0,Y,Norm,Norm,4,0,115,4,2,MetalSd,4,3,0,PConc,2,6,480.0,2.0,5,0,5,Attchd,1999.0,1739,1,GasA,0,3189.0,2Story,1,2,0,2645,24.0,3,0,456.0,BrkFace,None,0,8,Somerst,3.5,0,4,7,2,0,3,CompShg,0,Pave,7,970.0,115,2009,1999.5
860,860,0,None,3,4,3,0.0,0.0,6,6,0.0,0.0,2,860.0,Y,Norm,Norm,4,0,70,4,2,VinylSd,4,3,0,PConc,2,6,565.0,2.0,5,2,5,Attchd,2004.0,1720,1,GasA,0,3145.0,2Story,1,2,0,11645,89.0,0,0,0.0,None,None,0,8,CollgCr,2.5,70,4,6,2,0,3,CompShg,0,Pave,7,860.0,0,2006,2004.0
1426,1519,0,None,3,4,1,0.0,0.0,6,6,0.0,0.0,0,1410.0,Y,Norm,Norm,4,37,229,4,0,VinylSd,4,2,1,PConc,3,6,641.0,3.0,5,0,5,BuiltIn,2006.0,2945,1,GasA,0,4996.0,2Story,1,2,0,13682,66.0,1,0,1031.0,BrkFace,None,0,10,StoneBr,3.5,0,4,9,2,0,3,CompShg,0,Pave,10,1410.0,192,2006,2006.0
780,0,0,None,2,4,0,632.0,0.0,0,6,0.0,0.0,4,148.0,Y,Norm,Norm,4,0,196,4,3,HdBoard,2,3,0,CBlock,1,6,352.0,1.0,5,3,5,Detchd,1973.0,780,0,GasA,0,1912.0,1Story,1,3,0,7200,60.0,3,0,0.0,None,None,0,1,CollgCr,1.0,0,6,4,2,0,3,CompShg,0,Pave,4,780.0,196,2008,1972.0
1158,0,0,None,3,4,3,941.0,0.0,0,6,1.0,0.0,2,217.0,Y,RRAe,Norm,4,0,50,4,3,VinylSd,4,3,0,PConc,1,6,576.0,2.0,5,3,5,Detchd,2006.0,1158,1,GasA,0,2892.0,1Story,1,2,0,13072,63.0,3,0,0.0,None,None,0,5,SawyerW,2.5,50,4,5,2,0,3,CompShg,0,Pave,5,1158.0,0,2006,2004.0
581,530,0,None,3,0,3,0.0,0.0,6,6,0.0,0.0,4,530.0,N,Norm,Norm,4,144,144,4,3,MetalSd,4,3,0,BrkTil,1,6,288.0,1.0,5,3,5,Detchd,1935.0,1111,0,GasA,4,1929.0,2.5Unf,1,1,0,7200,60.0,3,0,0.0,None,None,0,3,IDOTRR,1.0,0,6,4,0,0,3,CompShg,0,Pave,6,530.0,0,2007,1958.0
