1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,Electrical,EnclosedPorch,ExtStructSF,ExterCond,ExterQual,Fence,FireplaceQu,Fireplaces,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,HouseSF,KitchenAbvGr,KitchenQual,LandSlope,LotArea,LotFrontage,LotShape,LowQualFinSF,MasVnrArea,MiscVal,MoSold,Num_Bathrooms,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YrSold,YearRemodAgg,Alley_Grvl,Alley_None,Alley_Pave,CentralAir_N,CentralAir_Y,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MiscFeature_Gar2,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Street_Grvl,Street_Pave
1040,0,0,3,4,3,906.0,0.0,5,6,1.0,0.0,4,134.0,4,0,0,4,3,4,3,0,1,6,384.0,1.0,5,3,5,1965.0,1040,0,0,2464.0,1,3,0,11200,70.0,3,0,0.0,0,2,2.0,0,4,4,2,0,3,0,5,1040.0,0,2008,1965.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1182,1142,0,4,4,3,998.0,0.0,2,6,1.0,0.0,0,177.0,4,0,168,4,0,4,2,2,3,6,736.0,3.0,5,0,5,2005.0,2324,0,0,4235.0,1,0,0,11924,85.0,0,0,286.0,0,7,4.0,21,4,8,2,0,3,0,11,1175.0,147,2006,2005.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
912,0,0,2,4,3,737.0,0.0,0,6,1.0,0.0,4,175.0,4,0,316,4,3,4,3,0,1,6,352.0,1.0,5,3,5,1962.0,912,0,4,2176.0,1,3,0,12968,72.0,1,0,0.0,0,9,2.0,0,5,4,2,0,3,176,4,912.0,140,2008,1962.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1494,0,0,3,4,0,0.0,0.0,6,6,0.0,0.0,2,1494.0,4,0,193,4,2,4,2,1,2,6,840.0,3.0,5,2,5,2006.0,1494,0,0,3828.0,1,2,0,10652,91.0,0,0,306.0,0,8,2.0,33,4,6,2,0,3,0,7,1494.0,160,2007,2006.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1253,0,0,2,4,3,733.0,0.0,1,6,1.0,0.0,4,520.0,4,176,389,4,3,1,1,1,1,6,352.0,1.0,5,2,5,1960.0,1253,1,4,2858.0,1,3,0,10920,73.0,0,0,212.0,0,5,2.5,213,4,5,2,0,3,0,5,1253.0,0,2008,1960.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
854,0,0,2,4,3,0.0,0.0,6,6,0.0,0.0,4,832.0,0,0,160,4,3,0,3,0,1,6,576.0,2.0,5,3,5,1991.0,854,0,0,2262.0,1,3,0,6120,51.0,3,0,0.0,0,7,1.0,112,7,6,2,0,3,0,5,832.0,48,2007,1965.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1004,0,0,2,4,3,578.0,0.0,0,6,1.0,0.0,4,426.0,4,0,0,4,3,4,5,1,1,6,480.0,2.0,5,0,5,1970.0,1004,0,0,2488.0,1,3,0,11241,73.0,0,0,180.0,700,3,2.0,0,6,5,2,0,3,0,5,1004.0,0,2010,1970.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1296,0,0,2,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,4,0,0,4,3,4,3,0,2,6,516.0,2.0,5,3,5,1967.0,1296,0,4,1812.0,2,3,0,10791,72.0,3,0,0.0,500,10,2.0,0,4,3,2,0,3,0,6,0.0,0,2006,1967.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1114,0,0,3,4,3,646.0,0.0,2,6,1.0,0.0,4,468.0,4,0,102,4,3,4,3,0,1,6,576.0,2.0,5,3,5,2004.0,1114,1,0,2804.0,1,2,0,13695,66.0,3,0,0.0,0,6,2.5,102,4,4,2,0,3,0,6,1114.0,0,2008,2004.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1339,0,0,3,4,3,504.0,0.0,3,6,0.0,0.0,4,525.0,4,0,0,4,3,2,3,0,1,2,294.0,1.0,5,3,5,1958.0,1339,0,4,2662.0,1,3,0,7560,70.0,3,0,0.0,0,5,1.0,0,5,4,2,0,3,0,6,1029.0,0,2009,1961.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1158,1218,0,4,4,0,0.0,0.0,6,6,0.0,0.0,0,1158.0,4,0,394,4,2,4,2,1,3,6,853.0,3.0,5,2,5,2005.0,2376,1,0,4387.0,1,2,0,14215,101.0,0,0,380.0,0,11,3.5,154,4,7,2,0,3,0,9,1158.0,240,2006,2005.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1108,0,0,3,4,3,0.0,0.0,6,6,0.0,0.0,4,637.0,1,205,205,4,3,0,2,1,1,6,280.0,1.0,5,3,5,1930.0,1108,0,0,2025.0,1,2,0,7449,57.0,3,0,0.0,0,6,1.0,0,6,6,0,0,3,0,6,637.0,0,2007,1940.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1795,0,0,3,4,3,0.0,0.0,6,6,0.0,0.0,2,1777.0,4,0,330,4,2,4,2,1,2,6,534.0,2.0,5,2,5,2002.0,1795,0,0,4106.0,1,2,0,9742,75.0,3,0,281.0,0,9,2.0,159,4,7,2,0,3,0,7,1777.0,171,2008,2002.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1060,0,0,3,4,3,840.0,0.0,2,6,1.0,0.0,2,200.0,4,0,210,4,3,4,5,1,1,6,572.0,2.0,5,3,5,1976.0,1060,0,4,2672.0,1,3,0,4224,44.0,3,0,0.0,0,6,2.0,110,6,4,2,0,3,0,6,1040.0,100,2007,1976.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1060,0,0,3,4,2,188.0,668.0,5,0,1.0,0.0,4,204.0,4,0,496,2,3,2,5,1,1,6,270.0,1.0,5,3,5,1968.0,1060,0,0,2390.0,1,2,0,8246,72.0,0,0,0.0,0,5,2.0,90,7,4,2,0,3,0,6,1060.0,406,2010,1984.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1600,0,0,3,4,3,0.0,0.0,6,6,0.0,0.0,2,1566.0,4,0,56,4,2,4,2,1,2,6,890.0,3.0,5,2,5,2007.0,1600,0,0,4056.0,1,2,0,14230,110.0,3,0,640.0,0,7,2.0,56,4,7,2,0,3,0,7,1566.0,0,2009,2007.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
900,0,0,3,4,2,234.0,486.0,1,5,0.0,1.0,4,180.0,4,0,254,4,3,4,3,0,1,6,576.0,2.0,5,3,5,2005.0,900,0,4,2376.0,1,2,0,7200,60.0,3,0,0.0,0,5,1.5,32,6,4,2,0,3,0,5,900.0,222,2010,1975.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1704,0,0,3,4,3,1218.0,0.0,2,6,1.0,0.0,0,486.0,4,0,50,4,2,4,2,1,2,6,772.0,3.0,5,2,5,2008.0,1704,0,0,4180.0,1,2,0,11478,98.0,3,0,200.0,0,5,3.0,50,4,7,2,0,3,0,7,1704.0,0,2010,2007.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1600,0,0,2,4,1,1277.0,0.0,1,6,1.0,0.0,4,207.0,4,0,546,4,3,4,2,2,1,6,319.0,1.0,5,2,5,1957.0,1600,0,4,3403.0,1,3,0,16321,47.0,0,0,0.0,0,12,2.0,258,5,4,2,0,3,0,6,1484.0,288,2006,1977.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
