BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtFinType2,BsmtQual,BsmtUnfSF,ExterQual,Fence,FireplaceQu,Fireplaces,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageYrBlt,GrLivArea,HeatingQC,HouseSF,KitchenQual,LotArea,LotFrontage,LotShape,MiscVal,Num_Bathrooms,OpenPorchSF,OverallQual,PoolArea,PoolQC,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearRemodAgg,Alley_Grvl,Alley_None,Alley_Pave,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MiscFeature_Gar2,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
4,3,906.0,5,6,4,134.0,3,4,3,0,384.0,1.0,5,3,5,1965.0,1040,0,2464.0,3,11200,70.0,1940,0,2.0,0,4,0,3,0,5,1040.0,0,1965.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,3,998.0,2,6,0,177.0,0,4,2,2,736.0,3.0,5,0,5,2005.0,2324,0,4235.0,0,11924,85.0,1941,0,4.0,21,8,0,3,0,11,1175.0,147,2005.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,3,737.0,0,6,4,175.0,3,4,3,0,352.0,1.0,5,3,5,1962.0,912,4,2176.0,3,12968,68.0,1942,0,2.0,0,4,0,3,176,4,912.0,140,1962.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0.0,6,6,2,1494.0,2,4,2,1,840.0,3.0,5,2,5,2006.0,1494,0,3828.0,2,10652,91.0,1943,0,2.0,33,6,0,3,0,7,1494.0,160,2006.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,733.0,1,6,4,520.0,3,1,1,1,352.0,1.0,5,2,5,1960.0,1253,4,2858.0,3,10920,68.0,1944,0,2.5,213,5,0,3,0,5,1253.0,0,1960.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0.0,6,6,4,832.0,3,0,3,0,576.0,2.0,5,3,5,1991.0,854,0,2262.0,3,6120,51.0,1945,0,1.0,112,6,0,3,0,5,832.0,48,1965.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,578.0,0,6,4,426.0,3,4,5,1,480.0,2.0,5,0,5,1970.0,1004,0,2488.0,3,11241,68.0,1946,700,2.0,0,5,0,3,0,5,1004.0,0,1970.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0.0,4,4,3,0.0,3,4,3,0,516.0,2.0,5,3,5,1967.0,1296,4,1812.0,3,10791,72.0,1947,500,2.0,0,3,0,3,0,6,0.0,0,1967.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,3,646.0,2,6,4,468.0,3,4,3,0,576.0,2.0,5,3,5,2004.0,1114,0,2804.0,2,13695,66.0,1948,0,2.5,102,4,0,3,0,6,1114.0,0,2004.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,3,504.0,3,6,4,525.0,3,2,3,0,294.0,1.0,5,3,5,1958.0,1339,4,2662.0,3,7560,70.0,1949,0,1.0,0,4,0,3,0,6,1029.0,0,1961.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.0,6,6,0,1158.0,2,4,2,1,853.0,3.0,5,2,5,2005.0,2376,0,4387.0,2,14215,101.0,1930,0,3.5,154,7,0,3,0,9,1158.0,240,2005.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,3,0.0,6,6,4,637.0,3,0,2,1,280.0,1.0,5,3,5,1930.0,1108,0,2025.0,2,7449,57.0,1929,0,1.0,0,6,0,3,0,6,637.0,0,1940.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0.0,6,6,2,1777.0,2,4,2,1,534.0,2.0,5,2,5,2002.0,1795,0,4106.0,2,9742,75.0,1928,0,2.0,159,7,0,3,0,7,1777.0,171,2002.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,840.0,2,6,2,200.0,3,4,5,1,572.0,2.0,5,3,5,1976.0,1060,4,2672.0,3,4224,44.0,1917,0,2.0,110,4,0,3,0,6,1040.0,100,1976.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,188.0,5,0,4,204.0,3,2,5,1,270.0,1.0,5,3,5,1968.0,1060,0,2390.0,2,8246,68.0,1909,0,2.0,90,4,0,3,0,6,1060.0,406,1984.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,3,0.0,6,6,2,1566.0,2,4,2,1,890.0,3.0,5,2,5,2007.0,1600,0,4056.0,2,14230,110.0,1910,0,2.0,56,7,0,3,0,7,1566.0,0,2007.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,2,234.0,1,5,4,180.0,3,4,3,0,576.0,2.0,5,3,5,2005.0,900,4,2376.0,2,7200,60.0,1911,0,1.5,32,4,0,3,0,5,900.0,222,1975.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1218.0,2,6,0,486.0,2,4,2,1,772.0,3.0,5,2,5,2008.0,1704,0,4180.0,2,11478,98.0,1912,0,3.0,50,7,0,3,0,7,1704.0,0,2007.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,1,1277.0,1,6,4,207.0,3,4,2,2,319.0,1.0,5,2,5,1957.0,1600,4,3403.0,3,16321,47.0,1913,0,2.0,258,4,0,3,0,6,1484.0,288,1977.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0.0,6,6,4,520.0,3,4,3,0,240.0,1.0,5,3,1,1920.0,520,1,1280.0,1,6324,60.0,1914,0,1.0,0,3,0,3,0,4,520.0,49,1938.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0.0,6,6,4,649.0,3,2,3,0,250.0,1.0,1,3,5,1920.0,1317,4,2216.0,3,8500,50.0,1915,0,1.0,54,3,0,3,0,6,649.0,0,1935.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0.0,6,6,4,1228.0,3,2,3,0,271.0,1.0,5,3,5,1966.0,1228,2,2727.0,2,8544,68.0,1916,0,1.5,65,4,0,3,0,6,1228.0,0,1986.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0.0,6,6,0,1234.0,2,4,3,0,484.0,2.0,5,2,5,2007.0,1234,0,2952.0,2,11049,85.0,1918,0,2.0,30,7,0,3,0,7,1234.0,0,2007.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1018.0,5,6,4,380.0,3,4,2,1,447.0,2.0,5,2,5,1959.0,1700,2,3545.0,2,10552,70.0,1927,0,2.0,38,4,0,3,0,6,1398.0,0,1959.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1153.0,2,6,0,408.0,0,4,2,1,556.0,2.0,5,0,5,2005.0,1561,0,3678.0,0,7313,60.0,1919,0,3.0,47,8,0,3,0,6,1561.0,203,2005.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0.0,6,6,0,1117.0,2,4,2,1,691.0,3.0,5,0,5,2004.0,2452,0,4260.0,2,13418,108.0,1920,0,3.5,32,7,0,3,0,9,1117.0,113,2004.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,3,0.0,6,6,2,1097.0,3,4,3,0,672.0,2.0,5,3,5,1995.0,1097,0,2866.0,3,10859,112.0,1921,0,1.5,64,4,0,3,0,6,1097.0,392,1994.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1213.0,5,6,4,84.0,3,4,5,1,498.0,2.0,5,0,5,1954.0,1297,2,3092.0,3,8532,74.0,1922,0,1.5,0,4,0,3,0,5,1297.0,0,1972.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,731.0,2,6,4,326.0,3,4,3,0,246.0,1.0,5,3,5,1953.0,1057,4,2360.0,2,7922,68.0,1923,0,2.0,52,4,0,3,0,5,1057.0,0,1980.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0.0,4,4,3,0.0,3,4,3,0,0.0,0.0,3,1,3,1979.0,1152,4,1152.0,1,6040,65.0,1924,0,2.0,0,3,0,3,0,6,0.0,0,1955.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,643.0,5,6,4,445.0,3,1,5,1,440.0,2.0,5,2,5,1965.0,1324,0,2852.0,3,8658,84.0,1925,0,2.0,138,5,0,3,0,6,1088.0,0,1965.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,967.0,1,6,4,383.0,3,4,2,2,308.0,1.0,5,2,5,1959.0,1328,2,2986.0,3,16905,115.0,1926,0,2.0,104,4,0,3,0,5,1350.0,0,1959.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0,747.0,0,3,2,0.0,3,2,3,0,504.0,2.0,2,2,5,1983.0,884,2,2228.0,2,9180,68.0,1950,0,2.0,0,4,0,3,0,5,840.0,240,1983.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,280.0,3,1,2,167.0,3,2,3,0,308.0,1.0,5,3,5,1977.0,938,4,2184.0,3,9200,68.0,1951,0,2.0,0,4,0,3,0,5,938.0,145,1977.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,179.0,0,1,4,465.0,3,4,3,0,300.0,1.0,5,2,5,1959.0,1150,0,2600.0,3,7945,70.0,1952,0,2.0,0,4,0,3,0,6,1150.0,0,1959.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,456.0,2,6,0,1296.0,0,4,2,1,576.0,2.0,5,2,5,2005.0,1752,0,4080.0,0,7658,61.0,1953,0,3.0,82,8,0,3,0,6,1752.0,196,2005.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,3,1351.0,2,6,0,83.0,2,4,0,1,670.0,2.0,5,2,5,2003.0,2149,0,4253.0,2,12822,48.0,1977,0,2.5,43,6,0,3,198,6,1434.0,168,2003.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,24.0,2,6,2,1632.0,2,4,3,0,826.0,3.0,5,2,5,2006.0,1656,0,4138.0,2,11096,84.0,1978,0,2.0,146,7,0,3,0,7,1656.0,0,2006.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
